type,name_of_the_university,address,zip,state,status,url
Deemed to be Universities,St. Peter’s Institute of Higher Education and Research,"Tonakela Camp Road, Avadi, Chennai",600054,Tamil Nadu,Section-III & 12(B),http://www.spiher.ac.in
Deemed to be Universities,Sumandeep Vidyapeeth,"Post Piparia, Takula Waghodiya, Dist. Vadodara",391760,Gujarat,Section-III & 12(B),http://www.sumandeepvidyapeethdu.edu.in
Deemed to be Universities,Swami Vivekananda Yoga Anusandhana Samsthana,"Gavipuram Circle, Kempegowda Nagar, Agrahara, Bangalore",560019,Karnataka,Section-III & 12(B),https://svyasa.edu.in
Deemed to be Universities,Symbiosis International University,"Gram: Lavale, Tal: Mulshi, District: Pune",412115,Maharashtra,Section-III & 12(B),http://www.siu.edu.in
Deemed to be Universities,Tata Institute of Fundamental Research,"Dr Homi Bhabha Road, Navy Nagar, Colaba, Mumbai",400005,Maharashtra,Section-III & 12(B),https://www.tifr.res.in
Deemed to be Universities,Tata Institute of Social Sciences,"VN Purav Marg, Deonar, Chembur, Mumbai",400088,Maharashtra,Section-III & 12(B),https://www.tiss.edu
Deemed to be Universities,TCG CREST,"First Floor, Tower 1, Bengal Eco Intelligent Park (Techna), Block EM, Plot No 3, Sector V, Salt lake, Kolkata",700091,West Bengal,Section-III,https://www.tcgcrest.org
Deemed to be Universities,TERI School of Advanced studies,"10 Institutional Area, Vasant Kunj,  New Delhi",110070,Delhi,Section-III,https://www.terisas.ac.in/index.php
Deemed to be Universities,Thapar Institute of Engineering & Technology,"P.O. Box 32, Bhadson Road, Patiala",147004,Punjab,Section-III,https://www.thapar.edu
Deemed to be Universities,The Gandhiigram Rural Institute,"Gandhigram, Dindigul District, Chinnalapatti",624302,Tamil Nadu,Section-III & 12(B),https://www.ruraluniv.ac.in
Deemed to be Universities,The LNM Institute of Information Technology,"Gram-Rupa ki Nangal, Post-Sumel, District:-Jaipur",302031,Rajasthan,Section-III,http://www.lnmiit.ac.in
Deemed to be Universities,Tilak Maharashtra Vidyapeeth,"Vidyapeeth Bhavan, Mukundnagar, Gultekdi, Pune",411037,Maharashtra,Section-III,http://www.tmv.edu.in
Deemed to be Universities,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,"Avadi-Vel Tech Road, Avadi, Chennai",600062,Tamil Nadu,Section-III & 12(B),https://www.veltech.edu.in
Deemed to be Universities,Vellore Institute of Technology,"Tiruvalam Rd, Katpadi, Vellore",632014,Tamil Nadu,Section-III,https://vit.ac.in
Deemed to be Universities,VELS Institute of Science Technology & Advanced Studies (VISTAS),"Velan Nagar, Pallavaram, Chennai  Off-Campus: Avanipoor, Tindivanam",600117,Tamil Nadu,Section-III & 12(B),http://www.velsuniv.ac.in
Deemed to be Universities,"Vignan's Foundation for Science, Technology and Research","Vadlamudi, Guntur",522213,Andhra Pradesh,Section-III & 12(B),https://vignan.ac.in
Deemed to be Universities,Vinayaka Mission’s Research Foundation,"NH47, Sankari Main Road, Salem",636308,Tamil Nadu,Section-III,https://vmrfdu.edu.in
Deemed to be Universities,Yenepoya,"University road, Deralaktte, Mangalore",575018,Karnataka,Section-III,http://yenepoya.edu.in
